"date_id","Symbol","A000070","A003200","A016800","A005720","A015350","A033660","A007160","A000320","A004700","A014280","A003070","A000860","A005810","A000430","A092230","A002620","A007700","A013520","A002390","A004970","A025000","A035510","A067830","A000540","A006220","A015360","A004250","A001940","A021820","A136490"
356,"2016-06-13","156,500","135,000","34,800","8,160","34,300","6,480","59,600","19,500","52,300","8,580","15,050","37,650","41,500","4,900","61,200","93,130","14,300","3,645","39,100","16,350","51,200","83,000","5,610","3,700","7,362","39,050","7,350","12,126","19,950","12,674"
357,"2016-06-14","153,000","134,000","34,900","7,910","34,300","6,460","59,700","19,400","50,100","8,610","14,650","37,200","41,500","4,865","61,000","94,862","13,700","3,635","39,100","15,950","50,900","81,000","5,630","3,655","7,491","38,950","7,360","12,045","19,750","12,605"
358,"2016-06-15","153,000","131,000","34,900","7,910","34,450","6,440","59,300","19,450","50,400","8,400","14,500","37,100","41,000","4,870","60,600","94,862","13,800","3,635","39,050","16,050","50,900","81,200","5,630","3,665","7,581","38,400","7,350","11,985","19,650","12,697"
359,"2016-06-16","150,500","128,500","34,550","7,800","34,450","6,330","59,200","19,200","47,300","8,400","14,850","36,200","41,300","4,855","60,500","87,937","13,350","3,565","37,650","15,800","50,600","81,100","5,520","3,650","7,432","38,000","7,300","11,945","19,500","12,605"
360,"2016-06-17","149,500","127,000","34,850","8,000","34,150","6,310","59,200","19,150","48,050","8,600","14,600","36,150","42,150","4,840","60,400","77,551","13,300","3,535","37,000","15,650","50,300","81,500","5,520","3,620","7,541","38,650","7,130","12,025","19,500","12,377"
361,"2016-06-20","153,500","127,500","34,900","7,920","33,750","6,460","60,100","19,100","48,250","8,630","14,950","36,100","41,350","4,830","60,500","77,205","13,900","3,590","37,300","15,750","51,000","83,200","5,510","3,585","7,561","39,300","7,350","12,146","19,550","12,400"
362,"2016-06-21","152,500","126,000","34,900","7,920","34,000","6,520","59,600","18,800","46,050","8,700","14,850","36,050","41,600","4,860","60,600","76,166","14,000","3,530","37,200","15,750","50,200","83,500","5,470","3,585","7,590","39,300","7,350","12,186","19,700","12,560"
363,"2016-06-22","153,500","126,500","34,850","7,890","34,300","6,530","59,900","18,950","47,400","8,520","14,900","36,450","42,000","4,835","61,500","69,588","14,050","3,620","37,000","15,550","50,500","83,300","5,500","3,600","7,620","38,500","7,330","12,366","19,700","12,537"
364,"2016-06-23","151,500","125,500","34,600","7,800","34,200","6,510","59,500","18,900","47,300","8,470","14,850","36,150","41,300","4,835","61,600","69,588","14,250","3,545","36,100","15,750","50,700","82,800","5,490","3,600","7,630","38,750","7,280","12,226","19,650","12,446"
365,"2016-06-24","147,500","122,000","34,500","7,690","33,750","6,320","58,300","18,100","43,300","8,430","13,450","34,300","40,100","4,775","60,300","65,711","13,600","3,285","33,850","15,350","50,000","80,500","5,390","3,450","7,233","38,100","7,310","11,785","18,750","12,446"
366,"2016-06-27","149,000","125,000","34,400","7,580","33,800","6,280","58,000","17,800","43,750","8,280","13,550","33,950","39,000","4,675","59,900","66,680","13,550","3,290","34,750","15,000","49,900","80,300","5,350","3,400","7,243","38,200","7,280","11,825","18,000","12,331"
367,"2016-06-28","150,500","125,000","34,300","7,570","33,800","6,370","59,700","18,500","45,350","8,360","13,950","33,950","39,150","4,670","59,900","70,627","13,500","3,290","35,400","14,950","49,500","80,200","5,360","3,400","7,332","39,150","7,200","11,945","18,500","12,400"
