"stock2","dg","mm","espread","qspread","rspread","adv_selection","amihud","volatility","volume","dvolume","nr_trades","price","ret","mktcap","sig.s","sig.p","PE","month","pre_mm","post_mm","post_mm2","prolong","Ksq"
13520,13,1,0.473672381,0.45406308498,0.169100511,0.2870504853,2.44825986832007,1.77347958628383,13.69095,0.490288875,967.35,3.59825,-6.95876288659794,23.23073738825,0.0015718467850006,0.00628342871066239,0.288580157908945,201601,1,0,0,0,0
13520,14,1,0.329595934444444,0.303136532777778,-0.0590554961111111,0.374714328888889,2.65138473655248,2.83987944886456,23.3628888888889,0.932581505555556,1251.44444444444,3.95777777777778,22.3338840259593,25.5518922244444,0.000880678471990069,0.00788605533041103,0.145331759387129,201602,1,0,0,0,0
13520,15,1,0.341667211666667,0.261674871111111,0.0797560111111111,0.261033698888889,2.04291878897814,1.81038020340543,18.7740555555556,0.835451975,1438.5,4.42722222222222,-1.58192090395477,28.5826823605556,0.000856357952478579,0.00680760631476311,0.149277043516404,201603,1,0,0,0,0
13520,16,1,0.238603711616667,0.177937370908333,0.000921885000000001,0.239157035,2.07402461335661,1.85998869030298,17.566125,0.758978275,1665.45833333333,4.34229166666667,-4.1331802525833,28.0343604172917,0.000588144704210056,0.00600213361017487,0.108287283757701,201604,0,1,0,0,0
13520,17,1,0.3040535675,0.204569773,-0.054469238,0.349968074,2.66617040216111,2.19025113519793,18.4301,0.7137890775,1361.4,3.866,-9.46107784431138,24.959363786,0.000706186394274119,0.0074371893319234,0.111483554045634,201605,0,1,0,0,0
13520,18,1,0.258044747009524,0.22935743047619,0.0247873957142857,0.232342815238095,3.43594822996297,1.79688128646667,12.2705238095238,0.435448823809524,1134.7619047619,3.59047619047619,-7.73639784321546,23.1805487333333,0.000742615369114894,0.00584419521210573,0.166141968466706,201606,0,1,0,0,0
13520,19,1,0.28237962,0.247824925714286,0.0156342933333333,0.259797946190476,3.53991529319084,1.43018303598675,10.8840952380952,0.38144839047619,818.218095238095,3.51452380952381,7.74853801169588,22.6901909716667,0.000799379719270869,0.00510401368813646,0.179418875079013,201607,0,1,0,0,0
13520,20,1,0.360215438181818,0.295001635909091,0.0802986554545455,0.277513970454545,3.32241439560325,2.0501913856609,12.6264545454545,0.463229954545455,949.454545454545,3.65386363636364,-1.49253731343286,23.5897857538636,0.000874803601920391,0.00551393157183941,0.193768548963753,201608,0,1,0,1,0
13520,21,1,0.367873956842105,0.283709405789474,0.134224985263158,0.248688092105263,3.09065889021066,1.49439120577578,9.74705263157895,0.346850894736842,804.947368421053,3.57078947368421,-3.99449035812671,23.0534489076316,0.000994814677091991,0.00432287081017585,0.242307254994684,201609,0,1,0,1,0
13520,22,1,0.4225704185,0.275311956,0.211044093665,0.2090834098,5.67549768351591,1.44079667740528,5.3736,0.18479917,578.1,3.4515,-6.45624103299853,22.2833016315,0.00102991502559936,0.00388521596719379,0.280864534317005,201610,0,1,0,1,0
